Country_Name,Country_Code,Series_Name,Series_Code,Year,Value
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,8.94125843
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2003,22645130.0
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2003,7.541018965
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2003,17.81492424
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2003,21.97825708
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,0.484002612
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,46.17317459
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,20.84738645
Albania,ALB,"Population, total",SP.POP.TOTL,2003,3039616.0
Albania,ALB,Population growth (annual %),SP.POP.GROW,2003,-0.374149169
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,1.336842924
Albania,ALB,Military expenditure (current USD),MS.MIL.XPND.CD,2003,76142881.76
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2003,5611496257.0
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,5.528637465
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2003,9.810558037
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,3.60104108
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,4.268953958
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,23.87594361
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,38.24882942
Algeria,DZA,"Population, total",SP.POP.TOTL,2003,32055883.0
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2003,1.354238911
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,3.251210893
Algeria,DZA,Military expenditure (current USD),MS.MIL.XPND.CD,2003,2206395762.0
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2003,76.23547363
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2003,67863850334.0
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,7.200000001
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,109.5419847
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,97.90076336
American Samoa,ASM,"Population, total",SP.POP.TOTL,2003,57941.0
