Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,199.6432279,221.8305307,254.1152743,274.0153943,376.3182964,382.5338038,453.3873821,562.4992194,608.7388559,653.4174791,638.7331848,626.5129305,566.8811327,523.0530121,526.1408013,492.0906323,497.7414293,512.0550982,355.7778264,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73883937,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,7.541018965,3.933177688,3.576508004,4.139678035,1.793195727,2.002333262,3.561288374,2.894904104,3.689508302,4.077627729,3.466788304,3.657576065,3.121341229,2.581549399,2.866492148,2.885207973,2.908529093,3.134746908,2.851357654,2.534498317
Afghanistan,AFG,"Population, total",SP.POP.TOTL,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33431075,74.23410411,80.28805103,81.319762,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,2.495,..,..,..,1.692,..,7.915,..,..,11.184,..,..,11.71,5.58,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,96.55368042,106.2526627,100.2296906,103.9322433,101.0864563,103.4139633,99.36972046,102.9034424,100.2902985,106.2834015,107.6959763,109.1155167,106.1824188,106.1502838,106.1299973,107.7805328,110.0075073,..,..,..
Afghanistan,AFG,Military expenditure (current USD),MS.MIL.XPND.CD,..,125111557.5,122727193.1,131346231.3,219580214.3,240532594.6,251869514.8,298147102.8,325806949.7,238583385.4,217194107.1,268238787.7,199517108.8,185878310.1,191407113.2,198074728.6,226306243.7,279576954.9,278250788,..
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,2.431253787,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006745856,1.170968382,1.358856927,1.827933856,..
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.28907741,37.06956358,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.42081714,14.3421528,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841891,14.8313194,15.53361392,16.82606226,..
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,..,..,..
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,63.52339481,71.58214338,76.43870301,83.07401873,105.0210647,97.86791084,100,111.8041858,119.0057313,127.7952231,133.7683667,132.8832092,138.7086655,145.6107414,146.5224819,149.8959752,..,..,..
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,818.1219214,991.192169,1126.375948,1232.423412,1376.638778,1435.808451,1420.293773,1656.366272,1806.768778,1773.651568,1736.849038,1725.332959,1554.167299,1444.003514,1625.286236,1558.307482,1507.982881,1355.805923,1545.613215,1644.062829
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.106138743,5.525630903,6.13157864,6.57581608,6.598625271,4.329092325,0.660371254,5.157236643,3.701852914,0.881674422,4.216607499,4.007576949,2.965062327,2.219014608,2.57194148,2.491354696,2.040616966,-2.799038075,4.300440828,3.43513777
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,2.617764284,2.64496843,2.666241587,2.702521121,2.747108851,2.765815976,2.755745298,2.757929142,2.738184845,2.740404834,2.780206834,2.774990291,2.802585821,2.72815853,2.655671599,2.688371428,2.691134381,2.678183716,2.607471694,2.543756525
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,433807484,445281555,457153837,469508516,482406426,495748900,509410477,523459657,537792950,552530654,567892149,583651101,600008424,616377605,632746570,649757148,667242986,685112979,702977106,720859132
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,51.02025371,62.88945518,69.73305799,76.40778861,85.50407977,87.86794889,91.40879228,105.7815866,115.524898,110.4051292,108.2958084,101.7303238,95.3377985,88.46087523,92.7588915,93.01063825,89.05531493,80.45325063,..,..
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,88.63018799,91.02198792,94.62032318,97.27435303,100.5860214,104.3992386,104.0487366,103.3735962,103.3436737,103.5401688,103.1059494,102.7218933,101.7207336,102.2486191,103.0417709,104.28936,105.2088089,106.161377,104.8954926,104.8826065
Africa Eastern and Southern,AFE,Military expenditure (current USD),MS.MIL.XPND.CD,5646539416,7366020357,8391802332,10168981009,11234075317,13548644937,13534612776,11939662796,13243429788,13839864655,15581977215,16829353040,15383318098,13659413872,16172675472,12270486685,11691723929,11014698608,11219314899,11664366312
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.77084019,1.86414913,1.676245161,1.70430499,1.666514232,1.929370239,1.947712133,1.535153449,1.501087951,1.533811817,1.729632519,1.759086197,1.57774282,1.343765622,1.448218681,1.118722449,1.07389824,1.102671914,1.005496806,1.00165962
Africa Eastern and Southern,AFE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,26.63390754,27.39680397,28.59573025,29.97662436,32.35427682,36.69807417,31.92932643,30.2553706,32.08478991,32.60945995,33.49864183,32.10864838,30.09440589,27.11193448,26.25577771,28.32600454,26.60174281,24.04866085,26.1811576,29.60749696
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.03245749,26.09707568,27.95769869,29.91305561,32.30962483,35.86608396,27.26794001,29.47699957,31.00182702,29.37124037,28.78138115,27.96263349,23.30569686,21.96504174,22.21064353,25.13159958,23.79932672,21.96387062,25.85078373,27.2564768
