Country_Name,Country_Code,Series_Name,Series_Code,Year,Value
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2003,7.541018965
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2003,22645130.0
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,818.1219214
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,3.106138743
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,2003,2.617764284
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,2003,433807484.0
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,88.63018799
Africa Eastern and Southern,AFE,Military expenditure (current USD),MS.MIL.XPND.CD,2003,5646539416.0
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,1.77084019
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,26.63390754
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,26.03245749
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,7.44970014
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,697.8512357
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,5.53557456
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,2003,2.816480646
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,2003,292977949.0
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,85.64588928
Africa Western and Central,AFW,Military expenditure (current USD),MS.MIL.XPND.CD,2003,1793043312.0
Africa Western and Central,AFW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,0.904131647
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,1.760904101
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,1846.120121
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,5.528637465
Albania,ALB,Population growth (annual %),SP.POP.GROW,2003,-0.374149169
Albania,ALB,"Population, total",SP.POP.TOTL,2003,3039616.0
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,107.2691116
Albania,ALB,Military expenditure (current USD),MS.MIL.XPND.CD,2003,76142881.76
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,1.336842924
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,46.17317459
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,20.84738645
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,0.484002612
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,82.78082267
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,2117.048229
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,7.200000001
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2003,1.354238911
Algeria,DZA,"Population, total",SP.POP.TOTL,2003,32055883.0
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,111.2080536
Algeria,DZA,Military expenditure (current USD),MS.MIL.XPND.CD,2003,2206395762.0
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,3.251210893
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,23.87594361
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,38.24882942
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,4.268953958
Algeria,DZA,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,77.63457483
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,9043.682367
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,0.965517241
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,2003,-0.40648362
American Samoa,ASM,"Population, total",SP.POP.TOTL,2003,57941.0
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,109.5419847
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,97.90076336
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,31954.16179
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,8.694203716
Andorra,AND,Population growth (annual %),SP.POP.GROW,2003,4.225669436
Andorra,AND,"Population, total",SP.POP.TOTL,2003,73907.0
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,95.10906982
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,982.8055897
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,2.99
Angola,AGO,Population growth (annual %),SP.POP.GROW,2003,3.413321212
Angola,AGO,"Population, total",SP.POP.TOTL,2003,18124342.0
Angola,AGO,Military expenditure (current USD),MS.MIL.XPND.CD,2003,670021164.4
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2003,3.761479074
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,49.57989074
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,54.32133881
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,10968.89268
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,6.076543688
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,2003,1.133521508
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2003,78075.0
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,1.993530552
Antigua and Barbuda,ATG,Consumer price index (2010 = 100),FP.CPI.TOTL,2003,85.87811271
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,2916.795659
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,4.915326444
Arab World,ARB,Population growth (annual %),SP.POP.GROW,2003,2.184676519
Arab World,ARB,"Population, total",SP.POP.TOTL,2003,306573087.0
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,89.23110199
